Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,1.729025,1.729681,1.719904,1.723201,1.723201,1498995
2019-08-01,1.723885,1.805075,1.707019,1.769646,1.769646,1604662
2019-08-02,1.771777,1.815736,1.767703,1.789147,1.789147,1787778
2019-08-03,1.789958,1.868103,1.784094,1.812600,1.812600,1386970
2019-08-04,1.812783,1.855775,1.725486,1.801406,1.801406,1659265
2019-08-05,1.800991,1.854606,1.750181,1.763132,1.763132,2060357
2019-08-06,1.764224,2.062721,1.747168,1.952624,1.952624,3799671
2019-08-07,1.952032,2.361377,1.931535,2.233416,2.233416,5298614
2019-08-08,2.233416,2.735590,2.160471,2.248917,2.248917,6768160
2019-08-09,2.249915,2.249915,1.874692,1.884272,1.884272,7232198
2019-08-10,1.884272,1.990703,1.755621,1.791479,1.791479,5218469
2019-08-11,1.791954,1.899074,1.720160,1.840708,1.840708,4439506
2019-08-12,1.838988,1.906796,1.759975,1.905666,1.905666,41144878
2019-08-13,1.910820,1.921705,1.720738,1.721495,1.721495,3769508
2019-08-14,1.720131,1.733959,1.486918,1.541435,1.541435,4435566
2019-08-15,1.541435,1.541435,1.172599,1.244130,1.244130,8974039
2019-08-16,1.246009,1.645545,1.165129,1.607270,1.607270,10560335
2019-08-17,1.606837,1.611824,1.441792,1.458504,1.458504,3070604
2019-08-18,1.458151,1.606362,1.436978,1.597553,1.597553,3412098
2019-08-19,1.591819,1.603834,1.413554,1.425199,1.425199,5387658
2019-08-20,1.425199,1.436136,1.400959,1.401899,1.401899,1805036
2019-08-21,1.401366,1.401366,1.244426,1.265796,1.265796,3255031
2019-08-22,1.261270,1.289709,1.223995,1.232419,1.232419,2398903
2019-08-23,1.232419,1.333648,1.230494,1.272533,1.272533,2410793
2019-08-24,1.272302,1.323780,1.260581,1.313576,1.313576,1304597
2019-08-25,1.313576,1.338114,1.268073,1.272295,1.272295,1757595
2019-08-26,1.270773,1.315283,1.262982,1.291568,1.291568,1895826
2019-08-27,1.291460,1.296420,1.232538,1.238865,1.238865,1776877
2019-08-28,1.238178,1.288798,1.169279,1.216939,1.216939,2419562
2019-08-29,1.210639,1.217524,1.150509,1.154562,1.154562,2229369
2019-08-30,1.154562,1.203164,1.136924,1.152727,1.152727,1667366
2019-08-31,1.152719,1.169170,1.135369,1.159505,1.159505,1503805
2019-09-01,1.159581,1.173839,1.139709,1.168366,1.168366,1126650
2019-09-02,1.168211,1.183208,1.104991,1.175600,1.175600,2429119
2019-09-03,1.175756,1.208775,1.159036,1.200490,1.200490,2587286
2019-09-04,1.197449,1.199715,1.143737,1.180898,1.180898,1582040
2019-09-05,1.181716,1.181993,1.144828,1.154189,1.154189,510850
2019-09-06,1.154189,1.193138,1.128465,1.147184,1.147184,1629681
2019-09-07,0.831290,1.210097,0.831290,1.209835,1.209835,2594179
2019-09-08,1.209564,1.243902,1.201235,1.243815,1.243815,1433740
2019-09-09,1.243815,1.307980,1.217005,1.235159,1.235159,2439269
2019-09-10,1.235508,1.270473,1.212604,1.243434,1.243434,1691140
2019-09-11,1.243909,1.251514,1.167902,1.235741,1.235741,1945756
2019-09-12,1.235741,1.253861,1.218270,1.232116,1.232116,1952443
2019-09-13,1.232722,1.246046,1.185267,1.218966,1.218966,1635134
2019-09-14,1.218986,1.255056,1.210857,1.229097,1.229097,2094526
2019-09-15,1.229520,1.268097,1.228891,1.265685,1.265685,1449198
2019-09-16,1.265277,1.273280,1.238900,1.257357,1.257357,1613098
2019-09-17,1.247970,1.308136,1.247439,1.287805,1.287805,1501821
2019-09-18,1.288511,1.332651,1.286491,1.293310,1.293310,1484375
2019-09-19,1.293145,1.338848,1.259463,1.304805,1.304805,1848358
2019-09-20,1.306047,1.327121,1.293962,1.323042,1.323042,1917492
2019-09-21,1.322837,1.348685,1.312240,1.315533,1.315533,2000164
2019-09-22,1.315826,1.329328,1.300794,1.311658,1.311658,1551786
2019-09-23,1.312108,1.324946,1.281159,1.282186,1.282186,1716038
2019-09-24,1.282129,1.352616,1.170799,1.270179,1.270179,3208009
2019-09-25,1.267890,1.267890,1.208018,1.253126,1.253126,1891123
